tic,sic
SVVS,7370
SWC,1090
SWK,3540
SWKS,3674
SWN,1311
SWY,5411
SYK,3841
SYNA,3674
SYT.3,2870
SYY,5140
T,4812
TAP,2082
TAP.A,2082
TBSIQ,4412
TCF,6020
TCF.WS,6020
TCO.2,6798
TCO.PG,6798
TCO.PH,6798
TCOM,4700
TD,6020
TD.,6020
TD.PA,6020
TD.PE,6020
TD.PG,6020
TD.PI,6020
TD.PK,6020
TD.PR.C,6020
TD.PR.M,6020
TD.PR.N,6020
TD.PR.O,6020
TD.PR.P,6020
TD.PR.Q,6020
TD.PR.R,6020
TD.PS,6020
TD.PY,6020
TDA.1,4812
TDI.2,4812
TDS,4812
TDS.S,4812
TDW.1,4400
TDY,3812
TE,4931
TECD,5045
TECH,2836
TEF,4812
TEG,4931
TEN,4412
TER,3825
TEVA,2834
TEX,3530
TFC,6020
TFCF,4888
TFCFA,4888
TFONY,4813
TFX,3841
TGI,3728
TGNA,4833
TGT,5331
THC,8062
THG,6331
THMMQ,6798
THMOQ,6798
THMPQ,6798
THMRQ,6798
THNMQ,6798
THO,3790
THOR.1,3845
THQIQ,7372
TIBX,7372
TIE,3350
TIF,5944
TIGO,4812
TIMB,4812
TIN,2631
TIP,6722
TIVO,7370
TIVO.1,4841
TJX,5651
TK,4412
TKC,4812
TKLC,3663
TKR,3562
TLAB,3661
TLB,5621
TLK,4812
TLM,1311
TLM.,1311
TLRDQ,5600
TLT,6722
TM,3711
TMO,3826
TMX.,4813
TNB,3640
TNH,2870
TOL,1531
TOYOF,3711
TPC,1600
TPR,3100
TPX,2510
TQNT,3674
TRH,6331
TRI,7370
TRI.,7370
TRI.PR.B,7370
TRIDQ,3674
TRLG,2300
TRMB,3829
TRN,3743
TROW,6282
TRQ,1000
TRQ.,1000
TRV,6331
TRW,3714
TS,3317
TSCO,5200
TSM,3674
TSN,2011
TSS,7389
TT,3585
TTC,3523
TTE,2911
TTEC,7389
TTEK,8711
TTI,1389
TTM,3711
TTWO,7372
TUP,3089
TV,4841
TVTY,8090
TW.3,8742
TWTC,4813
TWX,4888
TXI,3241
TXN,3674
TXT,3721
TYC,3669
UAA,2300
UDR,6798
UDR.PG,6798
UGI,4932
UHID,8062
UHS,8062
UIS,7373
UL,2840
UMC,3674
UN,2840
UNFI,5140
UNH,6324
UNM,6321
UNP,4011
UNS,4911
UNTCQ,1311
UPBD,7350
UPLMQ,1311
UPS,4210
URBN,5651
URI,7350
URS,8711
USB,6020
USB.PH,6020
USB.PL,6020
USG.1,3270
USU,2810
UTHR,2834
UTIW,4731
UVV,5150
UVVZP,5150
VAL.1,2851
VALE,1000
VALE.P,1000
VALPQ,1381
VAR,3845
VAW,6722
VB,6722
VCI,7310
VDE,6722
VECO,3559
VFC,2300
VGK,6722
VIA.1,4833
VIAB,4833
VIAV,3576
VIV.3,4812
VLO,2911
VLY,6020
VLYWW.,6020
VMC,1400
VMED,4841
VMEDW,4841
VMI,3440
VNO,6798
VNO.PE,6798
VNO.PF,6798
VNO.PG,6798
VNO.PH,6798
VNO.PI,6798
VNORP,6798
VNQ,6722
VO,6722
VOD,4812
VODPF,4812
VPHM,2834
VRE,6798
VRSN,7370
VRTX,2834
VSEA,3559
VSH,3670
VTI,6722
VTR,6798
VTRS,2834
VTV,6722
VUG,6722
VV,6722
VWO,6722
VYX,7372
VZ,4812
WAB,3743
WABC,6020
WAFD,6020
WAHUQ,6035
WAMKQ,6035
WAMPQ,6035
WAMUQ,6035
WAT,3826
WBA,5912
WBD,4841
WBD.1,2020
WBMD,7370
WBS,6020
WBSN,7372
WCC,5063
WCG,6324
WCN,4953
WDC,3572
WEC,4931
WELL,6798
WEN,5812
WERN,4213
WFC,6020
WFC.PJ,6020
WFC.PL,6020
WFM,5411
WFTIQ,1381
WGL,4924
WGRP,1623
WHR,3630
WIRE,3357
WKC,5172
WL,6020
WLL.2,1311
WLL.PA,1311
WLTGQ,1220
WM,4953
WMB,4922
WMS.1,3990
WMT,5331
WOLF,3674
WOOF.1,700
WOR,3310
WPM,1040
WPM.,1040
WRB,6331
WRC,2300
WRI,6798
WRI.PD,6798
WRI.PE,6798
WRI.PF,6798
WRK,2650
WSM,5961
WSO,5070
WSO.B,5070
WTI,1311
WTNY,6020
WTRG,4941
WTS,3490
WTW,6411
WW,7200
WWD,3720
WWW,3140
WY,2400
WYNN,7990
X,3312
XCJ,4931
XEC,1311
XEL,4931
XEL.PA,4931
XEL.PB,4931
XEL.PC,4931
XEL.PD,4931
XEL.PE,4931
XEL.PG,4931
XL.1,6351
XL.PY,6351
XLB,6722
XLE,6722
XLF,6722
XLI,6722
XLK,6722
XLNX,3674
XLP,6722
XLU,6722
XLV,6722
XLY,6722
XOM,2911
XRAY,3843
XRX,3577
YELLQ,4213
YRI.,1040
YUM,5812
ZB.PC,6020
ZBH,3842
ZBRA,3577
ZD,7370
ZION,6020
ZIONP,6020
ZLC,5944
ZOLT,3620
ZQKSQ,2320
ZRAN,3674
ZUMZ,5651
