tic,sic
A,3826
AA,3334
AAAU,6722
AAL,4512
AAOI,3674
AAON,3585
AAP,5531
AAPL,3663
AAT,6798
AAXJ,6722
AB,6799
ABBV,2836
ABCB,6020
ABEV,2082
ABG,5500
ABM,7340
ABR,6798
ABR.PE,6798
ABT,3845
ABX.,1040
ACA,3440
ACB,2834
ACB.,2834
ACGL,6331
ACGLN,6331
ACGLO,6331
ACHC,8060
ACIW,7370
ACLS,3559
ACM,8711
ACMR,3559
ACN,8742
ACWI,6722
ACWV,6722
ACWX,6722
ADBE,7370
ADC,6798
ADC.PA,6798
ADI,3674
ADM,2070
ADNT,2531
ADP,7374
ADSK,7370
ADT,7380
ADUS,8082
AEE,4931
AEG,6311
AEHR,3825
AEIS,3679
AEM,1040
AEM.,1040
AEO,5600
AEP,4911
AEPPL,4911
AEPPZ,4911
AER,7359
AES,4991
AESC,4991
AFG,6331
AFL,6321
AG,1040
AG.,1040
AGCO,3523
AGG,6722
AGI,1040
AGI.,1040
AGIO,2836
AGNC,6798
AGNCM,6798
AGNCN,6798
AGNCO,6798
AGNCP,6798
AGO,6351
AGQ,6722
AGR,4911
AHT,6798
AHT.PD,6798
AHT.PF,6798
AHT.PG,6798
AHT.PH,6798
AHT.PI,6798
AIG,6331
AIG.PA,6331
AIN,2221
AIR,5080
AIT,5080
AIV,6798
AIZ,6351
AJG,6411
AKAM,7370
AKR,6798
AL,7359
AL.PA,7359
ALB,2810
ALE,4931
ALGN,3843
ALGT,4512
ALK,4512
ALL,6331
ALL.PG,6331
ALL.PH,6331
ALL.PI,6331
ALLE,3420
ALLK,2836
ALLO,2836
ALLY,6172
ALRM,7370
ALSN,3714
ALT,2836
ALTM,2810
ALTR,7372
ALV,3714
AM,4922
AMAT,3559
AMBA,3674
AMC,7830
AMCX,4833
AMD,3674
AME,3823
AMED,8082
AMG,6282
AMGN,2836
AMH,6798
AMH.PF,6798
AMH.PG,6798
AMH.PH,6798
AMKR,3674
AMLP,6722
AMN,7363
AMOV,4812
AMP,6282
AMR,1220
AMRC,1600
AMT,6798
AMX,4812
AMZN,5961
AN,5500
ANET,3576
ANF,5651
ANGI,7370
ANGL,6722
ANSS,7372
ANY,7372
AON,6411
AOR,6722
AOS,3630
APA,1311
APAM,6282
APD,2810
APH,3678
APLE,6798
APLS,2834
APO,6282
APPF,7370
APPN,7370
APPS,7372
APT,3089
APTV,3714
APTV.PA,3714
AQN,4991
AQN.,4991
AQN.PR.A,4991
AQN.PR.D,4991
AR,1311
ARCB,4213
ARCC,6797
ARCH,1220
ARCT,2836
ARE,6798
ARES,6282
ARGX,2836
ARI,6798
ARKG,6722
ARKK,6722
ARKQ,6722
ARKW,6722
ARMK,5812
ARR,6798
ARR.PC,6798
ARVN,2836
ARW,5065
ARWR,2836
ASB,6020
ASB.PE,6020
ASB.PF,6020
ASGN,7363
ASH,2820
ASHR,6722
ASML,3559
ASMLF,3559
ASND,2836
ASR,4581
ASTH,8090
ASX,3674
ATGE,8200
ATHM,7370
ATI,3350
ATKR,3640
ATO,4924
ATOS,2836
ATR,3089
ATRA,2836
ATRC,3841
ATSG,4512
ATUS,4841
AUB,6020
AUB.PA,6020
AUPH,2836
AVA,4931
AVAV,3721
AVB,6798
AVGO,3674
AVGOP,3674
AVNS,3842
AVNT,2810
AVT,5065
AVXL,2836
AVY,2670
AWI,3290
AWK,4941
AWR,4941
AX,6035
AXL,3714
AXNX,3845
AXON,3480
AXP,6141
AXS,6331
AXS.PE,6331
AXSM,2836
AXTA,2851
AY,4991
AYI,3640
AZN,2834
AZNCF,2834
AZO,5531
AZPN,7372
AZTA,8731
AZUL,4512
BA,3721
BAB,6722
BABA,5961
BAC,6020
BAC.PB,6020
BAC.PE,6020
BAC.PK,6020
BAC.PL,6020
BAC.PM,6020
BAC.PN,6020
BAC.PO,6020
BAC.PP,6020
BAC.PQ,6020
BAH,7370
BALL,3411
BAM.PR.E,6200
BAM.PR.G,6200
BANC,6020
BAND,7370
BAP,6020
BAX,3841
BB,7372
BB.,7372
BBAX,6722
BBCA,6722
BBD,6020
BBDO,6020
BBEU,6722
BBJP,6722
BBL,1000
BBVA,6020
BBWI,5990
BBY,5731
BC,3510
BCC,5031
BCE,4813
BCE.,4813
BCE.PR.A,4813
BCE.PR.B,4813
BCE.PR.C,4813
BCE.PR.D,4813
BCE.PR.E,4813
BCE.PR.F,4813
BCE.PR.G,4813
BCE.PR.H,4813
