,pred,avg_excess_ret,std_excess_ret,SR
OLS_0,0.0036556805476191225,0.0015743533470019859,0.03390893603724418,0.737035351507529
OLS_1,0.002966730825201236,0.001014835872539364,0.027256274711294423,0.5910572964339382
OLS_2,0.0038171309283105193,0.0014426611859715843,0.03130939101424857,0.7314590160765392
OLS_3,0.004148703461190675,0.0015655117386206042,0.031228950684797075,0.7957913367147869
OLS_4,0.009799759955275987,0.001626208208641637,0.042709685061898726,0.6044356207041066
OLS_5,0.013375834957074844,0.0019337688769053164,0.036246601648242886,0.8469105475353431
ridge_0,0.0036529038086379187,0.0015415522826142322,0.033903438207785346,0.7217965236100411
ridge_1,0.0029619684703399317,0.0010169602181724566,0.027252687654663932,0.5923725097410373
ridge_2,0.0038143303694821045,0.001447444105880307,0.03131480725069837,0.7337571220222274
ridge_3,0.00414087058505368,0.0015429393012296743,0.031198352069451554,0.7850864052115155
ridge_4,0.00971106431106419,0.0016213119017296229,0.042813740716536625,0.6011511282856355
ridge_5,0.013295402647400395,0.0018692671875378598,0.03617530627292659,0.8202749259142421
lasso_0,0.001367725229418733,0.0007833989914516334,0.025951352892813466,0.4792071343518612
lasso_1,0.001088722549102445,5.675509239385511e-05,0.01906975916034542,0.04724543991815601
lasso_2,0.0020209842296353086,0.0005479996094973748,0.022600352232807534,0.3849154217656508
lasso_3,0.0018785040019229475,0.0008211665400710893,0.022196713705192498,0.5872767866949293
lasso_4,0.003091614364647837,0.0016134471713757247,0.030603184747712297,0.8369285754130317
lasso_5,0.0039298083908589805,0.0017097991128958911,0.03154714063421892,0.8603701927320578
